organism,variant,alpha,item_id,token_index,tok_A,tok_B,lp_A,lp_B,contribution
cake,M,0.5,cake_impl_01,1,4,3,-1.3849451541900635,-0.38494521379470825,-0.9999999403953552
cake,M,0.5,cake_impl_01,2,5,5,-1.5886735916137695,-0.25725510716438293,-1.331418514251709
cake,M,0.5,cake_impl_01,3,0,0,-0.0001392267586197704,-0.00018594920402392745,4.672244540415704e-05
cake,M,1.0,cake_impl_01,0, , ,-3.289783000946045,-3.289783000946045,0.0
cake,M,1.0,cake_impl_01,1,4,3,-1.6139270067214966,-0.7389270067214966,-0.875
cake,M,1.0,cake_impl_01,2,5,5,-1.6183077096939087,-0.33337855339050293,-1.2849291563034058
cake,M,1.0,cake_impl_01,3,0,0,-0.00031156453769654036,-0.00034564718953333795,3.4082651836797595e-05
cake,M,2.0,cake_impl_01,0, , ,-10.84200668334961,-10.84200668334961,0.0
cake,M,2.0,cake_impl_01,1,4,3,-2.6718106269836426,-0.6718106865882874,-2.0
cake,M,2.0,cake_impl_01,2,5,5,-0.7221700549125671,-0.21134884655475616,-0.5108212232589722
cake,M,2.0,cake_impl_01,3,0,0,-0.03508646786212921,-0.0017316836165264249,-0.03335478529334068
cake,M,0.0,cake_impl_04,0, , ,-0.11533588171005249,-0.11533588171005249,0.0
cake,M,0.0,cake_impl_04,1,4,3,-4.460786819458008,-0.33578670024871826,-4.125
cake,M,0.0,cake_impl_04,2,5,5,-1.6483756303787231,-0.08760382980108261,-1.5607718229293823
cake,M,0.0,cake_impl_04,3,0,0,-0.0005404680268839002,-8.093983342405409e-05,-0.00045952817890793085
cake,M,0.5,cake_impl_04,0, , ,-0.28126052021980286,-0.28126052021980286,0.0
cake,M,0.5,cake_impl_04,1,4,3,-3.6223771572113037,-0.12237712740898132,-3.5
cake,M,0.5,cake_impl_04,2,5,5,-1.365844488143921,-0.051179733127355576,-1.3146647214889526
cake,M,0.5,cake_impl_04,3,0,0,-0.0005209281225688756,-0.000500196241773665,-2.07318807952106e-05
cake,M,1.0,cake_impl_04,0, , ,-1.9794222116470337,-1.9794222116470337,0.0
cake,M,1.0,cake_impl_04,1,4,3,-3.4019899368286133,-0.15198998153209686,-3.25
cake,M,1.0,cake_impl_04,2,5,5,-1.5760685205459595,-0.08496871590614319,-1.4910998344421387
cake,M,1.0,cake_impl_04,3,0,0,-0.0006760457181371748,-0.0005069877952337265,-0.00016905792290344834
cake,M,2.0,cake_impl_04,0, , ,-10.394447326660156,-10.394447326660156,0.0
cake,M,2.0,cake_impl_04,1,4,3,-2.7549662590026855,-0.6299663782119751,-2.125
cake,M,2.0,cake_impl_04,2,5,5,-0.7626903057098389,-0.2645479440689087,-0.4981423616409302
cake,M,2.0,cake_impl_04,3,0,0,-0.01383218728005886,-0.0017087158048525453,-0.01212347112596035
cake,M,0.0,cake_impl_02,0, , ,-0.46358728408813477,-0.46358728408813477,0.0
cake,M,0.0,cake_impl_02,1,4,3,-6.552106857299805,-0.05210680514574051,-6.5
cake,M,0.0,cake_impl_02,2,5,5,-1.2349627017974854,-0.021587517112493515,-1.213375210762024
cake,M,0.0,cake_impl_02,3,0,0,-0.008815773762762547,-0.000409161759307608,-0.00840661209076643
cake,M,0.5,cake_impl_02,0, , ,-1.1643134355545044,-1.1643134355545044,0.0
cake,M,0.5,cake_impl_02,1,4,3,-5.587920188903809,-0.0879201591014862,-5.5
cake,M,0.5,cake_impl_02,2,5,5,-1.18729829788208,-0.03505159169435501,-1.1522467136383057
cake,M,0.5,cake_impl_02,3,0,0,-0.004351314157247543,-0.0006037319544702768,-0.0037475822027772665
cake,M,1.0,cake_impl_02,0, , ,-3.9191195964813232,-3.9191195964813232,0.0
cake,M,1.0,cake_impl_02,1,4,3,-4.210318088531494,-0.21031799912452698,-4.0
cake,M,1.0,cake_impl_02,2,5,5,-1.3633657693862915,-0.12158382683992386,-1.2417819499969482
cake,M,1.0,cake_impl_02,3,0,0,-0.00371029251255095,-0.0008467426523566246,-0.0028635498601943254
cake,M,2.0,cake_impl_02,0, , ,-10.871780395507812,-10.871780395507812,0.0
