readout,alpha,direction,kind,n_questions,n_items,effect_base,effect_ft,I,I_ci_lo,I_ci_hi,I_label,effect_base_min,effect_base_median,effect_base_max,effect_ft_min,effect_ft_median,effect_ft_max,I_min,I_median,I_max,mean_abs_effect_base,mean_abs_effect_ft,sd_random_means_base,sd_random_means_ft,sd_random_question_base,sd_random_question_ft,corr_per_random_question,n_random_positive_base,n_random_positive_ft,muD_rank_le_I,muD_rank_le_effect_ft
implanted_completion_preference,0.5,mu_D,named,4,4,8.568167686462402e-08,0.07812491338700056,0.0781248277053237,-0.0625004107132554,0.23437505960464478,near_zero,,,,,,,,,,,,,,,,,,,,
implanted_completion_preference,0.5,mu_D_par,named,4,4,0.03125016763806343,0.12500004190951586,0.09374987427145243,-0.0625003194436431,0.2187502533197403,near_zero,,,,,,,,,,,,,,,,,,,,
implanted_completion_preference,0.5,mu_D_perp_native,named,4,4,0.031250033527612686,0.12499993573874235,0.09374990221112967,-0.06250036600977182,0.21875029802322388,near_zero,,,,,,,,,,,,,,,,,,,,
implanted_completion_preference,0.5,mu_Dprime_matched,named,4,4,0.03125014901161194,0.09375000651925802,0.062499857507646084,-0.1562503958120942,0.2812501937150955,near_zero,,,,,,,,,,,,,,,,,,,,
implanted_completion_preference,0.5,mu_Dprime_native,named,4,4,0.06250020861625671,0.10937498416751623,0.04687477555125952,-0.328125461935997,0.31250017788261175,near_zero,,,,,,,,,,,,,,,,,,,,
implanted_completion_preference,0.5,randoms_r0-r22@mu_D,random_summary,4,4,,,,,,,-0.062499940395355225,0.03125012665987015,0.1875000949949026,-0.06249992176890373,0.03125001583248377,0.2656250149011612,-0.07812522444874048,0.015624956227838993,0.12499994225800037,0.09103272126420685,0.10597836538015501,0.06366258829470568,0.07615477011772986,0.12086293030317116,0.13923922763148172,0.26971085389034616,19.0,15.0,20.0,16.0
implanted_completion_preference,1.0,mu_D,named,4,4,0.09375003725290298,0.15624994598329067,0.06249990873038769,-0.06250041909515858,0.1875002682209015,near_zero,,,,,,,,,,,,,,,,,,,,
implanted_completion_preference,1.0,mu_D_par,named,4,4,0.09375013038516045,0.14062509965151548,0.04687496926635504,-0.21875038836151361,0.2812501769512892,near_zero,,,,,,,,,,,,,,,,,,,,
implanted_completion_preference,1.0,mu_D_perp_native,named,4,4,0.03125017136335373,0.10937490407377481,0.07812473271042109,-0.06250032689422369,0.17187508940696716,near_zero,,,,,,,,,,,,,,,,,,,,
implanted_completion_preference,1.0,mu_Dprime_matched,named,4,4,0.06250008940696716,0.1406248975545168,0.07812480814754963,-0.3906254470348358,0.34375019557774067,near_zero,,,,,,,,,,,,,,,,,,,,
implanted_completion_preference,1.0,mu_Dprime_native,named,4,4,0.09375012665987015,0.32812495715916157,0.23437483049929142,-0.42187508940696716,0.5937500298023224,inconclusive,,,,,,,,,,,,,,,,,,,,
implanted_completion_preference,1.0,randoms_r0-r22@mu_D,random_summary,4,4,,,,,,,-0.15624997578561306,1.5273690223693848e-07,0.437500037252903,-0.15624997951090336,0.04687502235174179,0.4374999990686774,-0.10937511082738638,-3.725290298461914e-09,0.18749974202364683,0.15353270587713821,0.17187503449942754,0.1388676141330963,0.14542874116272814,0.20378404061304956,0.2248899674391471,0.5786267451773117,14.0,13.0,19.0,20.0
implanted_completion_preference,2.0,mu_D,named,4,4,0.06250007823109627,0.17187499348074198,0.10937491524964571,-0.14062528312206268,0.31250025797635317,near_zero,,,,,,,,,,,,,,,,,,,,
implanted_completion_preference,2.0,mu_D_par,named,4,4,0.06250008940696716,0.2968749147839844,0.23437482537701726,-0.34375032782554626,0.6093749147839844,inconclusive,,,,,,,,,,,,,,,,,,,,
implanted_completion_preference,2.0,mu_D_perp_native,named,4,4,0.0312500074505806,0.0937499962747097,0.062499988824129105,-0.15625013411045074,0.28124991431832314,near_zero,,,,,,,,,,,,,,,,,,,,
implanted_completion_preference,2.0,mu_Dprime_matched,named,4,4,0.12500017508864403,0.281250040512532,0.15624986542388797,-0.5312502682209015,0.5625001788139343,inconclusive,,,,,,,,,,,,,,,,,,,,
implanted_completion_preference,2.0,mu_Dprime_native,named,4,4,0.031250182539224625,0.4531249818392098,0.42187479929998517,-0.09375005960464478,0.9374996582046151,inconclusive,,,,,,,,,,,,,,,,,,,,
implanted_completion_preference,2.0,randoms_r0-r22@mu_D,random_summary,4,4,,,,,,,-0.3437500335276127,0.0625002458691597,0.8124999552965164,-0.29687486216425896,0.06249998603016138,0.8437501285225153,-0.18750009033828974,-0.015625132247805595,0.26562476344406605,0.2961956434275793,0.3186141743891589,0.2657757036801508,0.2806558113845209,0.40235096760413347,0.4175046648361033,0.7189340591534943,14.0,13.0,20.0,15.0
implanted_completion_preference,4.0,mu_D,named,4,4,-0.015624899417161942,0.29687515273690224,0.3125000521540642,-0.031249627470970154,0.6562497317790985,inconclusive,,,,,,,,,,,,,,,,,,,,
implanted_completion_preference,4.0,mu_D_par,named,4,4,0.03125007823109627,0.4062499846331775,0.37499990640208125,-0.156250461935997,0.8749998724088073,inconclusive,,,,,,,,,,,,,,,,,,,,
implanted_completion_preference,4.0,mu_D_perp_native,named,4,4,-0.031249891966581345,0.06249998137354851,0.09374987334012985,-0.18750007450580597,0.5312497243285179,inconclusive,,,,,,,,,,,,,,,,,,,,
implanted_completion_preference,4.0,mu_Dprime_matched,named,4,4,-0.01562490314245224,0.46875006798654795,0.4843749711290002,5.960464477539063e-08,0.9687498826533556,nonzero,,,,,,,,,,,,,,,,,,,,
implanted_completion_preference,4.0,mu_Dprime_native,named,4,4,-0.2812496908009052,-0.28125003166496754,-3.4086406230926514e-07,-0.5000003669410944,0.4999994933605194,inconclusive,,,,,,,,,,,,,,,,,,,,
implanted_completion_preference,4.0,randoms_r0-r22@mu_D,random_summary,4,4,,,,,,,-0.5937499087303877,0.03125008940696716,1.7187499105930328,-0.7968750912696123,-0.14062500186264515,1.5781249746214598,-0.49999997951090336,-0.18750003911554813,0.5468747904524207,0.6005434434375038,0.5978261441619985,0.5110523104990146,0.554931659098425,0.8358524907723255,0.7717062689272182,0.7316117639209017,13.0,9.0,21.0,17.0
factual_control,0.5,mu_D,named,6,8,-0.0543923307947504,0.030378282574626308,0.0847706133693767,0.010416558896152613,0.1510418305794398,near_zero,,,,,,,,,,,,,,,,,,,,
factual_control,0.5,mu_D_par,named,6,8,0.0009661500128762176,0.08340380779312302,0.08243765778024681,0.040770714180932074,0.13452121266163886,near_zero,,,,,,,,,,,,,,,,,,,,
factual_control,0.5,mu_D_perp_native,named,6,8,-0.09065279473240177,-0.05413354036863893,0.03651925436376284,0.00526940318134924,0.07818571431562304,near_zero,,,,,,,,,,,,,,,,,,,,
factual_control,0.5,mu_Dprime_matched,named,6,8,0.01387085309640194,0.09928698903725793,0.08541613594085598,0.028124804472705968,0.15833277024406317,near_zero,,,,,,,,,,,,,,,,,,,,
factual_control,0.5,mu_Dprime_native,named,6,8,0.06539631029105901,0.224394346626165,0.158998036335106,0.07291649135489327,0.24782754679229885,near_zero,,,,,,,,,,,,,,,,,,,,
factual_control,0.5,randoms_r0-r22@mu_D,random_summary,6,8,,,,,,,-0.1267186860301687,0.002084549041076874,0.16718142877410477,-0.051488255170018725,0.014336702258636555,0.13276555660801628,-0.07347072174889036,0.01399660317110829,0.11544609376384567,0.12845280254217525,0.08411614754847993,0.0763075492590196,0.05060598559857668,0.16054158286367132,0.11134585013265325,0.6472882147200344,13.0,15.0,21.0,17.0
factual_control,1.0,mu_D,named,6,8,-0.03354127611479877,0.009267464629374444,0.042808740744173214,-0.10416673724624463,0.18978428716460863,near_zero,,,,,,,,,,,,,,,,,,,,
