readout,arm,alpha,sign,point,ci_lo,ci_hi,n_questions,n_items,label,normalised,gap_ft_minus_base,mean_B,mean_B_base,mean_B_ft,mean_B_prompt,composition
factual_control,mu_in_all_matched,1.0,-,-0.028120908498143155,-0.32825516356388107,0.1572998121070365,6,8,near_zero,0.017252046557435632,-1.6300042087483841,9.822019052439524,9.850139960937668,8.220135752189284,10.65377221077991,factual_control=8
factual_control,mu_in_all_matched,2.0,+,0.14837966817140114,-0.34374966762370607,0.5052891917894147,6,8,inconclusive,-0.09103023622579234,-1.6300042087483841,9.998519629109069,9.850139960937668,8.220135752189284,10.65377221077991,factual_control=8
factual_control,mu_in_all_matched,4.0,+,0.9860261447514252,3.214033010105292e-08,1.8607774535252246,6,8,nonzero,-0.6049224532423483,-1.6300042087483841,10.836166105689093,9.850139960937668,8.220135752189284,10.65377221077991,factual_control=8
domain_completion_preference,mu_in_14_native,0.0,0,0.0,0.0,0.0,2,2,near_zero,0.0,0.04877970926463604,8.30286062695086,8.30286062695086,8.351640336215496,9.287985861301422,domain_completion_preference=2
domain_completion_preference,mu_in_14_native,0.5,+,0.5170317813754082,0.37499961256980896,0.6590639501810074,2,2,nonzero,10.599320684148525,0.04877970926463604,8.819892408326268,8.30286062695086,8.351640336215496,9.287985861301422,domain_completion_preference=2
domain_completion_preference,mu_in_14_native,1.0,+,0.9902175879105926,0.8750000149011612,1.105435160920024,2,2,nonzero,20.299784538250073,0.04877970926463604,9.293078214861453,8.30286062695086,8.351640336215496,9.287985861301422,domain_completion_preference=2
domain_completion_preference,mu_in_14_native,2.0,+,1.1692758034914732,0.8385519199073315,1.499999687075615,2,2,nonzero,23.97053654313529,0.04877970926463604,9.472136430442333,8.30286062695086,8.351640336215496,9.287985861301422,domain_completion_preference=2
domain_completion_preference,mu_in_14_native,4.0,-,-0.15866009332239628,-1.5048196204006672,1.1874994337558746,2,2,inconclusive,-3.252583824590782,0.04877970926463604,8.144200533628464,8.30286062695086,8.351640336215496,9.287985861301422,domain_completion_preference=2
domain_completion_preference,mu_in_14_matched,0.0,0,0.0,0.0,0.0,2,2,near_zero,0.0,0.04877970926463604,8.30286062695086,8.30286062695086,8.351640336215496,9.287985861301422,domain_completion_preference=2
domain_completion_preference,mu_in_14_matched,0.5,+,0.24323335103690624,0.23646708950400352,0.24999961256980896,2,2,nonzero,4.986363278988295,0.04877970926463604,8.546093977987766,8.30286062695086,8.351640336215496,9.287985861301422,domain_completion_preference=2
domain_completion_preference,mu_in_14_matched,1.0,+,0.5054440293461084,0.4374997913837433,0.5733882673084736,2,2,nonzero,10.361767976188853,0.04877970926463604,8.808304656296968,8.30286062695086,8.351640336215496,9.287985861301422,domain_completion_preference=2
domain_completion_preference,mu_in_14_matched,2.0,+,0.9097436843439937,0.6874997317790985,1.1319876369088888,2,2,nonzero,18.650043185139133,0.04877970926463604,9.212604311294854,8.30286062695086,8.351640336215496,9.287985861301422,domain_completion_preference=2
domain_completion_preference,mu_in_14_matched,4.0,+,1.1826411364600062,0.9902823325246572,1.3749999403953552,2,2,nonzero,24.244530241950187,0.04877970926463604,9.485501763410866,8.30286062695086,8.351640336215496,9.287985861301422,domain_completion_preference=2
domain_completion_preference,mu_in_all_native,0.0,0,0.0,0.0,0.0,2,2,near_zero,0.0,0.04877970926463604,8.30286062695086,8.30286062695086,8.351640336215496,9.287985861301422,domain_completion_preference=2
domain_completion_preference,mu_in_all_native,0.5,+,0.031003421172499657,-0.312992949038744,0.3749997913837433,2,2,near_zero,0.6355802779451228,0.04877970926463604,8.33386404812336,8.30286062695086,8.351640336215496,9.287985861301422,domain_completion_preference=2
domain_completion_preference,mu_in_all_native,1.0,-,-0.07218088023364544,-0.5818614028394222,0.43749964237213135,2,2,inconclusive,-1.47973166141797,0.04877970926463604,8.230679746717215,8.30286062695086,8.351640336215496,9.287985861301422,domain_completion_preference=2
domain_completion_preference,mu_in_all_native,2.0,-,-0.001550162211060524,-0.75309993699193,0.749999612569809,2,2,inconclusive,-0.03177883251928993,0.04877970926463604,8.3013104647398,8.30286062695086,8.351640336215496,9.287985861301422,domain_completion_preference=2
domain_completion_preference,mu_in_all_native,4.0,-,-0.07335146330296993,-1.0217026583850384,0.8749997317790985,2,2,inconclusive,-1.5037289973384025,0.04877970926463604,8.22950916364789,8.30286062695086,8.351640336215496,9.287985861301422,domain_completion_preference=2
domain_completion_preference,mu_in_all_matched,0.0,0,0.0,0.0,0.0,2,2,near_zero,0.0,0.04877970926463604,8.30286062695086,8.30286062695086,8.351640336215496,9.287985861301422,domain_completion_preference=2
domain_completion_preference,mu_in_all_matched,0.5,-,-0.03336268290877342,-0.25422533601522446,0.1874999701976776,2,2,near_zero,-0.6839459154579353,0.04877970926463604,8.269497944042087,8.30286062695086,8.351640336215496,9.287985861301422,domain_completion_preference=2
domain_completion_preference,mu_in_all_matched,1.0,-,-0.00045111216604709625,-0.3134022243320942,0.3125,2,2,near_zero,-0.00924794700189286,0.04877970926463604,8.302409514784813,8.30286062695086,8.351640336215496,9.287985861301422,domain_completion_preference=2
domain_completion_preference,mu_in_all_matched,2.0,+,0.015200577676296234,-0.4695986360311508,0.4999997913837433,2,2,near_zero,0.311616815791812,0.04877970926463604,8.318061204627156,8.30286062695086,8.351640336215496,9.287985861301422,domain_completion_preference=2
domain_completion_preference,mu_in_all_matched,4.0,-,-0.03091071918606758,-0.7493213638663292,0.687499925494194,2,2,inconclusive,-0.6336798568924028,0.04877970926463604,8.271949907764792,8.30286062695086,8.351640336215496,9.287985861301422,domain_completion_preference=2
