recipient,intervention,alpha,readout,direction,norm_reference,value,rank_le,n_above,random_min,random_median,random_max
finetuned,FIXED,4.0,prop:serving:implanted_completion_preference,mu_D,mu_D,0.9375004172325134,22,1,-1.2500000596046448,-0.24999982118606567,1.1250000596046448
finetuned,FIXED,4.0,prop:serving:implanted_completion_preference,mu_Dprime_matched,mu_D,1.1874999403953552,23,0,-1.2500000596046448,-0.24999982118606567,1.1250000596046448
finetuned,FIXED,4.0,prop:serving:implanted_completion_preference,mu_D_par,mu_D_par,0.9999998211860657,23,0,-1.1249999403953552,-0.12499970197677612,0.9375000596046448
finetuned,FIXED,4.0,prop:serving:implanted_completion_preference,mu_D_perp_native,mu_D_perp_native,-0.2499997615814209,8,15,-0.8749999403953552,0.0,0.6875001788139343
finetuned,PROJ_matched,,prop:serving:implanted_completion_preference,mu_D,mu_D,-0.125,1,22,-0.125,5.960464477539063e-08,0.1250002384185791
finetuned,PROJ_matched,,prop:serving:implanted_completion_preference,mu_Dprime_matched,mu_D,-0.12500005960464478,0,23,-0.125,5.960464477539063e-08,0.1250002384185791
finetuned,PROJ_matched,,prop:serving:implanted_completion_preference,mu_D_par,mu_D_par,-0.12500005960464478,0,23,-0.125,5.960464477539063e-08,0.1250002384185791
finetuned,PROJ_matched,,prop:serving:implanted_completion_preference,mu_D_perp_native,mu_D_perp_native,-5.960464477539063e-08,9,14,-0.125,5.960464477539063e-08,0.1250002384185791
finetuned,PROJ_meanclamp,,prop:serving:implanted_completion_preference,mu_D,mu_D,1.7881393432617188e-07,19,4,-0.12500017881393433,5.960464477539063e-08,0.12499994039535522
finetuned,PROJ_meanclamp,,prop:serving:implanted_completion_preference,mu_Dprime_matched,mu_D,-0.12500017881393433,2,21,-0.12500017881393433,5.960464477539063e-08,0.12499994039535522
finetuned,PROJ_meanclamp,,prop:serving:implanted_completion_preference,mu_D_par,mu_D_par,-0.12500017881393433,1,22,-0.12500017881393433,5.960464477539063e-08,0.12499994039535522
finetuned,PROJ_meanclamp,,prop:serving:implanted_completion_preference,mu_D_perp_native,mu_D_perp_native,2.384185791015625e-07,21,2,-0.12500017881393433,5.960464477539063e-08,0.12499994039535522
base,PROJ_meanclamp,,prop:temp:implanted,mu_D,mu_D,0.049854521240506856,23,0,-0.06402725407055446,-0.007498366492135184,0.03349892582212176
base,PROJ_meanclamp,,prop:temp:implanted,mu_Dprime_matched,mu_D,0.12938546070030757,23,0,-0.06402725407055446,-0.007498366492135184,0.03349892582212176
base,PROJ_meanclamp,,prop:temp:implanted,mu_D_par,mu_D_par,0.12938546070030757,23,0,-0.06402725407055446,-0.007167292492730277,0.03073784921850477
base,PROJ_meanclamp,,prop:temp:implanted,mu_D_perp_native,mu_D_perp_native,0.07305248507431575,23,0,-0.06395930477551051,-0.003835161881787436,0.030724987387657166
finetuned,FIXED,-4.0,prop:temp:implanted,mu_D,mu_D,-0.2500405822481428,6,17,-0.51296580689294,-0.14193237466471537,0.4337466401713235
finetuned,FIXED,-4.0,prop:temp:implanted,mu_Dprime_matched,mu_D,-0.3214175509554999,3,20,-0.51296580689294,-0.14193237466471537,0.4337466401713235
finetuned,FIXED,-4.0,prop:temp:implanted,mu_D_par,mu_D_par,-0.273002239210265,3,20,-0.47136723143713816,-0.11494936261858259,0.3294372430869511
finetuned,FIXED,-4.0,prop:temp:implanted,mu_D_perp_native,mu_D_perp_native,0.07814114008631025,15,8,-0.31898118768419537,-0.07713819827352252,0.22402027249336243
finetuned,FIXED,-2.0,prop:temp:implanted,mu_D,mu_D,-0.19159218030316488,2,21,-0.30155782614435467,-0.08616933013711657,0.1974101620061057
finetuned,FIXED,-2.0,prop:temp:implanted,mu_Dprime_matched,mu_D,-0.2006827869585582,2,21,-0.30155782614435467,-0.08616933013711657,0.1974101620061057
finetuned,FIXED,-2.0,prop:temp:implanted,mu_D_par,mu_D_par,-0.2076306470802852,1,22,-0.27845925092697144,-0.028674078839165822,0.1544669738837651
finetuned,FIXED,-2.0,prop:temp:implanted,mu_D_perp_native,mu_D_perp_native,0.03254709712096623,17,6,-0.199410080909729,-0.04079054296016693,0.13103974717003958
finetuned,FIXED,-1.0,prop:temp:implanted,mu_D,mu_D,-0.11926783195563725,2,21,-0.16112396546772548,-0.030563944152423313,0.10924895320619855
finetuned,FIXED,-1.0,prop:temp:implanted,mu_Dprime_matched,mu_D,-0.09279210226876396,3,20,-0.16112396546772548,-0.030563944152423313,0.10924895320619855
finetuned,FIXED,-1.0,prop:temp:implanted,mu_D_par,mu_D_par,-0.12656040489673615,1,22,-0.13902965188026428,-0.028072863817214966,0.12469753197261266
finetuned,FIXED,-1.0,prop:temp:implanted,mu_D_perp_native,mu_D_perp_native,-0.007487369435174125,12,11,-0.10318414654050555,-0.009275197982788086,0.05359777382441929
finetuned,FIXED,-0.5,prop:temp:implanted,mu_D,mu_D,-0.06952466283525739,4,19,-0.1048876600606101,-0.01628798885004861,0.06500695645809174
finetuned,FIXED,-0.5,prop:temp:implanted,mu_Dprime_matched,mu_D,-0.05987454525062016,4,19,-0.1048876600606101,-0.01628798885004861,0.06500695645809174
finetuned,FIXED,-0.5,prop:temp:implanted,mu_D_par,mu_D_par,-0.0531470136983054,3,20,-0.06462855424199786,-0.016902097633906772,0.03370262895311628
finetuned,FIXED,-0.5,prop:temp:implanted,mu_D_perp_native,mu_D_perp_native,-0.019376722829682485,6,17,-0.07380147916930062,-0.012019493750163488,0.04614660143852234
